"","site_name","transect","species","family","size_cm","abundance","fg","fishing_ground","size_5cm_bin"
"232","Fan Garden",1,"cephalopholis urodeta","Serranidae",26,1,"Pisci-invertivore","tomia atoll","25-30"
"233","Fan Garden",1,"chaetodon spp.","Chaetodontidae",12,1,"Micro-invertivore","tomia atoll","10-15"
"234","Fan Garden",1,"chaetodon spp.","Chaetodontidae",12,2,"Micro-invertivore","tomia atoll","10-15"
"235","Fan Garden",1,"cheilinus fasciatus","Labridae",33,1,"Macro-invertivore","tomia atoll","30-35"
"236","Fan Garden",1,"coris gaimard","Labridae",40,1,"Macro-invertivore","tomia atoll","40-45"
"237","Fan Garden",1,"ctenochaetus striatus","Acanthuridae",15,1,"Detritivore","tomia atoll","15-20"
"238","Fan Garden",1,"ctenochaetus striatus","Acanthuridae",15,2,"Detritivore","tomia atoll","15-20"
"239","Fan Garden",1,"ctenochaetus striatus","Acanthuridae",15,4,"Detritivore","tomia atoll","15-20"
"240","Fan Garden",1,"epibulus insidiator","Labridae",38,1,"Pisci-invertivore","tomia atoll","35-40"
"241","Fan Garden",1,"forcipiger flavissimus","Chaetodontidae",20,3,"Micro-invertivore","tomia atoll","20-25"
"242","Fan Garden",1,"forcipiger flavissimus","Chaetodontidae",20,1,"Micro-invertivore","tomia atoll","20-25"
"243","Fan Garden",1,"hemigymnus melapterus","Labridae",34,1,"Macro-invertivore","tomia atoll","30-35"
"244","Fan Garden",1,"heniochus chrysostomus","Chaetodontidae",14,2,"Micro-invertivore","tomia atoll","10-15"
"245","Fan Garden",1,"melichthys vidua","Balistidae",20,1,"Planktivore","tomia atoll","20-25"
"246","Fan Garden",1,"melichthys vidua","Balistidae",20,1,"Planktivore","tomia atoll","20-25"
"247","Fan Garden",1,"parupeneus crassilabris","Mullidae",38,1,"Macro-invertivore","tomia atoll","35-40"
"248","Fan Garden",1,"parupeneus multifasciatus","Mullidae",21,1,"Macro-invertivore","tomia atoll","20-25"
"249","Fan Garden",1,"siganus punctatissimus","Siganidae",35,2,"Grazer","tomia atoll","35-40"
"250","Fan Garden",1,"thalassoma lunare","Labridae",20,1,"Micro-invertivore","tomia atoll","20-25"
"251","Fan Garden",1,"thalassoma lunare","Labridae",20,1,"Micro-invertivore","tomia atoll","20-25"
"252","Fan Garden",1,"thalassoma spp.","Labridae",20,2,"Micro-invertivore","tomia atoll","20-25"
"253","Fan Garden",1,"zanclus cornutus","Zanclidae",15,2,"Micro-invertivore","tomia atoll","15-20"
"254","Fan Garden",2,"acanthurus pyroferus","Acanthuridae",20,1,"Grazer","tomia atoll","20-25"
"255","Fan Garden",2,"acanthurus pyroferus","Acanthuridae",20,1,"Grazer","tomia atoll","20-25"
"256","Fan Garden",2,"balistapus undulatus","Balistidae",19,1,"Macro-invertivore","tomia atoll","15-20"
"257","Fan Garden",2,"balistapus undulatus","Balistidae",19,1,"Macro-invertivore","tomia atoll","15-20"
"258","Fan Garden",2,"bodianus mesothorax","Labridae",25,1,"Micro-invertivore","tomia atoll","25-30"
"259","Fan Garden",2,"bodianus mesothorax","Labridae",25,1,"Micro-invertivore","tomia atoll","25-30"
"260","Fan Garden",2,"cephalopholis argus","Serranidae",44,1,"Pisci-invertivore","tomia atoll","40-45"
"261","Fan Garden",2,"ctenochaetus striatus","Acanthuridae",15,1,"Detritivore","tomia atoll","15-20"
